,-40,-35,-30,-25,-20,-15,-10,-5,0,5,10,15,20,25,30,35,40
3200,11953,12020,12027,11990,11952,11915,11878,11844,11811,11556,11152,10747,10343,9939,9534,9130,8725
3100,12096,12117,12107,12075,12042,12008,11973,11937,11900,11727,11315,10902,10490,10077,9665,9252,8840
3000,12240,12213,12187,12160,12132,12101,12068,12030,11989,11898,11477,11057,10636,10216,9795,9374,8954
2900,12317,12281,12248,12217,12188,12159,12130,12100,12069,12013,11633,11212,10791,10370,9949,9528,9107
2800,12394,12349,12309,12274,12244,12217,12192,12170,12149,12128,11788,11367,10945,10524,10102,9681,9260
2700,12469,12425,12385,12350,12319,12291,12267,12245,12225,12207,11944,11521,11098,10674,10251,9828,9405
2600,12543,12500,12462,12426,12394,12366,12341,12319,12301,12286,12100,11675,11250,10825,10400,9975,9550
2500,12612,12569,12532,12499,12471,12446,12424,12403,12384,12365,12218,11791,11364,10937,10509,10082,9655
2400,12682,12638,12602,12573,12548,12526,12507,12487,12467,12443,12336,11907,11477,11048,10619,10189,9760
2300,12750,12707,12673,12645,12622,12602,12585,12567,12549,12529,12464,12043,11616,11188,10761,10334,9906
2200,12818,12776,12743,12717,12695,12678,12662,12648,12632,12615,12593,12180,11754,11329,10903,10478,10052
2100,12906,12858,12820,12789,12764,12744,12727,12712,12696,12679,12660,12307,11885,11463,11040,10618,10196
2000,12994,12941,12897,12862,12834,12811,12792,12776,12760,12744,12726,12433,12015,11596,11178,10759,10341
1900,13049,12996,12953,12918,12890,12867,12848,12831,12816,12801,12784,12547,12212,11770,11338,10905,10472
1800,13103,13052,13010,12975,12947,12923,12904,12887,12872,12858,12842,12662,12409,11944,11498,11051,10604
1700,13158,13108,13066,13032,13003,12980,12960,12943,12928,12914,12900,12776,12606,12119,11657,11196,10735
1600,13213,13164,13123,13088,13060,13036,13016,12999,12985,12971,12958,12890,12803,12293,11817,11342,10867
1500,13267,13220,13179,13145,13116,13092,13072,13055,13041,13028,13016,13004,13000,12467,11977,11488,10998
1400,13299,13249,13207,13172,13143,13120,13102,13087,13075,13065,13055,13046,13042,12615,12131,11628,11125
1300,13331,13278,13234,13198,13170,13148,13131,13118,13109,13101,13095,13088,13085,12763,12285,11768,11251
1200,13363,13307,13261,13225,13197,13176,13161,13150,13143,13138,13134,13130,13127,12911,12438,11908,11378
1100,13395,13336,13289,13252,13224,13204,13190,13182,13177,13174,13173,13171,13169,13059,12592,12048,11504
1000,13428,13365,13316,13278,13251,13232,13220,13213,13211,13211,13212,13213,13212,13207,12746,12188,11631
900,13426,13366,13318,13282,13256,13238,13227,13222,13221,13223,13226,13229,13231,13229,12817,12318,11800
800,13424,13366,13320,13285,13261,13244,13235,13231,13231,13235,13240,13245,13249,13251,12888,12447,11969
700,13422,13366,13322,13289,13266,13250,13242,13240,13242,13247,13254,13261,13268,13273,12959,12577,12138
600,13420,13366,13324,13293,13270,13257,13250,13248,13252,13259,13267,13277,13287,13295,13030,12707,12307
500,13418,13366,13326,13296,13275,13263,13257,13257,13262,13270,13281,13293,13306,13317,13101,12836,12476
400,13416,13366,13328,13300,13280,13269,13264,13266,13272,13282,13295,13310,13325,13339,13172,12966,12645
300,13414,13367,13330,13303,13285,13275,13272,13275,13282,13294,13309,13326,13343,13361,13243,13096,12814
200,13412,13367,13332,13307,13290,13281,13279,13283,13293,13306,13323,13342,13362,13383,13314,13225,12983
100,13410,13367,13334,13310,13295,13287,13287,13292,13303,13318,13336,13358,13381,13405,13385,13355,13152
0,13408,13367,13336,13314,13300,13294,13294,13301,13313,13330,13350,13374,13400,13427,13456,13484,13321
